ID,Nome
107,ACABAMENTO FINAL CYREL
1,ACOPLAMENTO HIDRÁULICO
2,AGITADOR
58,ALIMENTADOR
124,ANALISADOR
155,APALPADOR
59,AQUECEDOR
114,AR CONDICIONADO / FAN COIL
83,ARQUEADEIRA FP
187,ATUADOR
111,BALANÇA
71,BOMBA AXIAL (BA)
3,BOMBA CENTRÍFUGA
4,BOMBA DE FUSO
5,BOMBA DE VÁCUO
72,BOMBA DIAFR/MEMBRA
7,BOMBA HIDRÁULICA/ENGRENAGENS
73,BOMBA PALHETAS
6,BOMBA PISTÃO
161,CABO AÇO
84,CAIXA ALTURA
171,CÂMERA DE PROCESSO
156,CÂMERA DE VÍDEO
115,CARTÃO ELETRÔNICO
163,CATRACA
85,CENTOPÉIA
142,CHAVE DE PARTIDA
148,CHAVES - INSTRUMENTAÇÃO
8,CILINDRO HIDRÁULICO/PNEUMÁTICO
144,CILINDRO SECADOR
109,CILINDROS DE ANILOX CERÂMICA
162,CINTA
174,CLASSE PARA QUADROS ELÉTRICOS
86,COLADEIRA
154,COLEIRO
9,COMPRESSOR
79,COMPRESSOR DE AR - CONVERT.
10,COMPRESSOR REFRIGERAÇÃO
23,COMPUTADORES  (INFORMÁTICA)
194,CONJUNTO ROTARIVO PICADOR
166,CONJUNTO ROTATIVO (BOMBAS)
176,CONJUNTO ROTATIVO DEPURADOR
194,CONJUNTO ROTATIVO PICADOR
177,CONJUNTO ROTATIVO REFINADOR
175,CONJUNTO ROTATIVO VENTILADOR
87,CONTADEIRA DE RESMAS
150,CONTAMINEX
74,CONTATOR A VÁCUO
122,CONTROLADOR
131,CONTROLADOR LÓGICO PROGRAMÁVEL
137,CONTROLE CD DE ESPESSURA
138,CONTROLE CD DE GRAMATURA
136,CONTROLE CD DE UMIDADE
121,CONVERSOR
132,CONVERSORES DE FREQ
88,CORTADEIRA
135,DANTEC
11,DEPURADOR ROTATIVO
12,DEPURADOR VERTICAL
130,DESAGREGADOR
60,DESCEDOR DE BOBINAS
13,DESFIBRADOR
126,DETETOR
14,DISJUNTOR
15,EIXO CARDAN
125,ELEMENTO PRIMÁRIO DE MEDIÇÃO
96,EMPILHADEIRA
99,EMPILHADOR HIDRÁULICO
98,ENFARDADEIRA HIDRÁULICA
81,ENVELOPADEIRA
21,EQUIP. IMPRESSÃO  (INFORM.)
16,EQUIPAMENTOS DIVERSOS
157,EQUIPAMENTOS FLORESTAL
153,ESTABILIZADOR
17,EXCITATRIZ
105,EXPOSITORA CYREL
192,EXTENSOR DE VÍDEO
93,EXTRUSORA
101,FERRAMENTA COMBINADA
62,FILTRO
18,FILTRO LAVADOR
190,FONTE
127,FONTE RADIOATIVA
133,FRAMES
158,FURADEIRA
97,GARRA HIDRÁULICA / CLAMPS
193,GATEWAY REDE (RTA)
168,GAVETAS
20,GERADOR DE CORRENTE ALTERNADA
19,GERADOR DE CORRENTE CONTÍNUA
196,GESTÃO DE ATIVOS
90,GUILHOTINA
63,GUINCHO
89,IMPRESSORA FLEXOGRÁFICA
78,IMPRESSORA OFF-SET
149,INDICADORES - INSTRUMENTAÇÃO
146,INSTRUMENTOS LABORATÓRIO
75,INVERSOR DE FREQUÊNCIA
173,ITENS CONTROLADOS
165,LIMITADOR
165,LIMITADOR DE TORQUE
159,LIXADEIRA
167,LOCOMOTIVA
22,MACACO MECÂNICO
113,MÁQ.COSTURA
152,MÁQUINA MONTADORA DE CAIXAS
56,MEDIDOR DE VAZÃO
65,MESA ROLANTE
140,MICROS DE PROCESSO - INSTRUM
151,MOLDE
139,MONITORES - INSTRUM - INTERF HOMEM/MÁQ
64,MONTA CARGA
32,MOTO-REDUTORES
25,MOTO-VARIADOR
26,MOTOR A EXPLOSÃO
27,MOTOR COR ALTERNADA
28,MOTOR COR CONTINUA
29,MOTOR HIDRÁULICO
30,MOTOR PNEUMÁTICO
31,MOTOR SÍNCRONO
33,MUX  (INFORM.)
129,NOBREAK
34,NOTEBOOK  (INFORM.)
57,OSCILADOR
57,OSCILADOR DE CHUVEIROS
24,OUTROS  (INFORM.)
141,PAINÉIS DE CONTROLE - INSTRUM
102,PALETIZADOR
66,PENEIRA
172,PNEUS
35,PONTE ROLANTE
188,POSICIONADOR
188,POSICIONADOR DE VÁLVULA
82,PRENSA DE CORTE
100,PRENSA PNEUMÁTICA
106,PROCESSADORA CYREL
67,QUEIMADOR
145,REATOR
36,REDUTOR
37,REFINADOR CÔNICO
38,REFINADOR DE DISCOS
123,REGISTRADOR
185,ROBOS
39,ROLO DE MÁQUINA
169,ROLO TRANSPORTADOR
108,SECADOR CYREL
94,SECADOR DE AR
104,"SECADOR DE PAPEL "" S """
69,SECADOR ROTATIVO
40,SEMI EIXO
116,SENSOR
182,SENSOR DE CONCENTRAÇÃO
180,SENSOR DE CONSISTÊNCIA
184,SENSOR DE TURBIDEZ
41,SERVIDOR (INFORM.)
68,SOPRADOR
80,SOPRADOR CONVERT
42,SOPRADOR DE FULIGEM
77,SOS
189,SWITCH
76,TACO GERADOR
112,TALHA
117,TANQUES E VAZOS
118,TERMOELEMENTO
191,THIN CLIENT (TCN)
165,TORQUE
160,TORQUÍMETRO
70,TORRE ABSORÇÃO
91,TORRE DE RESFRIAMENTO
128,TORRE DE RESFRIAMENTO
43,TRANSFORMADOR
119,TRANSMISSOR
55,TRANSMISSOR ANALÍTICO
44,TRANSMISSOR ANALÓGICO (INSTRUM.)
183,TRANSMISSOR DE CONCENTRAÇÃO
181,TRANSMISSOR DE CONSISTÊNCIA
186,TRANSMISSOR DE TURBIDEZ
45,TRANSMISSOR DIGITAL (INSTRUM.)
46,TRANSMISSOR PNEUMÁTICO (INSTRUM.)
103,TRANSPALETEIRA
61,TRANSPORTADOR
47,TROCADOR DE CALOR
195,TROCADOR DE CALOR DE PLACAS
92,TUBEIRA
134,ULMA
95,UNIDADE DE REFRIGERAÇÃO
110,UNIDADE PNEUMO-HIDRÁULICA
120,VÁLVULA
48,VÁLVULA DE CONTROLE (INSTRUM.)
147,VÁLVULA DE SEGURANÇA (NR13)
170,VALVULA HIDRAULICA/PNEUMATICA
179,VALVULA MANUAL
49,VÁLVULA ROTATIVA
50,VARIADOR ELETROMAGNÉTICO
51,VARIADOR VELOCIDADE
143,VASOS SOB PRESSÃO / CALDEIRAS
52,VENTILADOR / EXAUSTOR
164,VESTIMENTA
164,VESTIMENTAS
164,VESTIMENTAS MÁQUINAS DE PAPEL
